Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2008, тыс. рублей	Март, 2008, тыс. рублей	Изменение, тыс. рублей	Изменение, %
1	0	Сбербанк России	1481	Москва и обл.	6283839554	5237526353	1046313201	19.98
2	0	ВТБ	1000	Санкт-Петербург и обл.	2451560718	1522719851	928840867	61
3	0	Газпромбанк	354	Москва и обл.	1287059249	852116507	434942742	51.04
4	2	Россельхозбанк	3349	Москва и обл.	761094716	484182198	276912518	57.19
5	0	Банк Москвы	2748	Москва и обл.	686869672	499808435	187061237	37.43
6	-2	Альфа-Банк	1326	Москва и обл.	646737887	541253952	105483935	19.49
7	4	ВТБ 24	1623	Москва и обл.	563394906	365380169	198014737	54.19
8	0	ЮниКредит Банк	1	Москва и обл.	544588414	422268278	122320136	28.97
9	-2	Райффайзенбанк	3292	Москва и обл.	521710884	441303755	80407129	18.22
10	-1	Росбанк	2272	Москва и обл.	463013095	396173345	66839750	16.87
11	-1	Банк Уралсиб	2275	Москва и обл.	425725893	366596164	59129729	16.13
12	0	Промсвязьбанк	3251	Москва и обл.	402526077	325986985	76539092	23.48
13	0	МДМ-Банк	2361	Москва и обл.	313189770	279678854	33510916	11.98
14	2	ФК Открытие	2209	Москва и обл.	281509596	209359275	72150321	34.46
15	5	Ак Барс	2590	Татарстан	220635994	163166690	57469304	35.22
16	-1	Русский Стандарт	2289	Москва и обл.	212229802	210354898	1874904	0.89
17	0	МДМ Банк	323	Новосибирская обл.	211432993	185537863	25895130	13.96
18	-4	ВТБ Северо-Запад	439	Санкт-Петербург и обл.	206398402	220878138	-14479736	-6.56
19	5	Транскредитбанк	2142	Москва и обл.	200362987	130953040	69409947	53
20	6	Банк «Санкт-Петербург»	436	Санкт-Петербург и обл.	193892005	126751041	67140964	52.97
21	8	Банк Сосьете Женераль Восток	2295	Москва и обл.	188375034	106803334	81571700	76.38
22	1	Международный Промышленный Банк	2056	Москва и обл.	183411382	132645098	50766284	38.27
23	2	Абсолют Банк	2306	Москва и обл.	173859693	130446400	43413293	33.28
24	-6	Петрокоммерц	1776	Москва и обл.	169653161	175942871	-6289710	-3.57
25	-4	Ситибанк	2557	Москва и обл.	165877877	157555758	8322119	5.28
26	-4	Зенит	3255	Москва и обл.	154417356	144949538	9467818	6.53
27	6	Нордеа Банк	3016	Москва и обл.	145165892	83308590	61857302	74.25
28	-1	Возрождение	1439	Москва и обл.	137257579	118432491	18825088	15.9
29	5	Ханты-Мансийский банк Открытие	1971	Тюменская обл.	127398616	81999514	45399102	55.37
30	0	ИНГ Банк	2495	Москва и обл.	124732836	88728414	36004422	40.58
31	-3	КИТ Финанс Инвестиционный Банк	1911	Санкт-Петербург и обл.	116705931	108825198	7880733	7.24
32	5	Газэнергопромбанк	3284	Москва и обл.	105692358	76349422	29342936	38.43
33	3	Хоум Кредит Банк	316	Москва и обл.	105557613	76606772	28950841	37.79
34	1	МТС Банк	2268	Москва и обл.	102416754	79265349	23151405	29.21
35		Национальный Клиринговый Центр	3466	Москва и обл.	98772591			
36	-4	Союз	2307	Москва и обл.	97229774	84022926	13206848	15.72
37	2	Россия	328	Санкт-Петербург и обл.	96172767	64561827	31610940	48.96
38	-7	Глобэкс	1942	Москва и обл.	92878325	88649702	4228623	4.77
39	9	Русфинанс Банк	1792	Самарская обл.	90942411	53193997	37748414	70.96
40		Петровский	729	Санкт-Петербург и обл.	85973665			
41	9	Дойче Банк	3328	Москва и обл.	80507026	49420100	31086926	62.9
42	-1	ОТП Банк	2766	Москва и обл.	76458648	61814418	14644230	23.69
43	-3	Национальный Банк «Траст»	3279	Москва и обл.	75635268	63911112	11724156	18.34
44	3	Коммерцбанк (Евразия)	3333	Москва и обл.	74109410	53348564	20760846	38.92
45	12	Банк Интеза	2216	Москва и обл.	71875081	43033419	28841662	67.02
46	-2	Росгосстрах Банк	3073	Москва и обл.	69437055	57894573	11542482	19.94
47	5	Ренессанс Кредит	3354	Москва и обл.	68481532	48334890	20146642	41.68
48	-2	Кредит Европа Банк	3311	Москва и обл.	67543741	53922820	13620921	25.26
49		АМТ Банк	2820	Москва и обл.	65448065			
50	-8	Бинбанк	2562	Москва и обл.	64098184	60120524	3977660	6.62
51	-8	Московский Индустриальный Банк	912	Москва и обл.	63637383	59043665	4593718	7.78
52	10	БНП Париба Банк	3407	Москва и обл.	63515326	40465907	23049419	56.96
53	-15	Собинбанк	1317	Москва и обл.	62856537	70232438	-7375901	-10.5
54	-9	Национальный Резервный Банк	2170	Москва и обл.	55942927	53947517	1995410	3.7
55	1	Транскапиталбанк (ТКБ)	2210	Москва и обл.	54983757	44230592	10753165	24.31
56	8	Сведбанк	3064	Москва и обл.	54788411	40222968	14565443	36.21
57	9	Московский Кредитный Банк	1978	Москва и обл.	51565865	38380527	13185338	34.35
58	-4	Запсибкомбанк	918	Тюменская обл.	50285145	46111050	4174095	9.05
59	-4	Балтийский Банк	128	Москва и обл.	50066578	44683127	5383451	12.05
60	-2	Пробизнесбанк	2412	Москва и обл.	50065607	42728028	7337579	17.17
61	-12	Юниаструм Банк	2771	Москва и обл.	48246157	50245867	-1999710	-3.98
62	-9	РосЕвроБанк	3137	Москва и обл.	48166504	47913180	253324	0.53
63	-3	Татфондбанк	3058	Татарстан	47627730	41696483	5931247	14.22
64	-5	Центр-инвест	2225	Ростовская обл.	47289257	41938333	5350924	12.76
65	-2	Уральский Банк Реконструкции и Развития	429	Свердловская обл.	46641458	40375311	6266147	15.52
66	-15	Еврофинанс Моснарбанк	2402	Москва и обл.	45856836	48494432	-2637596	-5.44
67	-6	Сургутнефтегазбанк	588	Тюменская обл.	44916514	41137657	3778857	9.19
68	0	Северная Казна	2083	Свердловская обл.	42390125	37671201	4718924	12.53
69	17	Первобанк	3461	Самарская обл.	41947255	24852239	17095016	68.79
70	1	Мастер-Банк	2176	Москва и обл.	40298337	32892108	7406229	22.52
71	7	СКБ-Банк	705	Свердловская обл.	40026463	27906009	12120454	43.43
72	-2	Международный Банк Санкт-Петербурга (МБСП)	197	Санкт-Петербург и обл.	38957552	35711682	3245870	9.09
73	-1	Всероссийский Банк Развития Регионов	3287	Москва и обл.	38126639	29892592	8234047	27.55
74	-9	Авангард	2879	Москва и обл.	36909659	38907286	-1997627	-5.13
75	5	Локо-Банк	2707	Москва и обл.	32149273	27488050	4661223	16.96
76	-1	Восточный Экспресс Банк	1460	Амурская обл.	31894184	29255152	2639032	9.02
77	-8	СБ Банк (Судостроительный банк)	2999	Москва и обл.	31127838	35798853	-4671015	-13.05
78	-2	Инвестторгбанк	2763	Москва и обл.	30762486	28682017	2080469	7.25
79	-12	Банк «Открытие»	2179	Москва и обл.	30578677	37692489	-7113812	-18.87
80	-1	Газбанк	2316	Самарская обл.	30301994	27801201	2500793	9
81	23	Современный Коммерческий Банк (бывш. ДжиИ Мани Банк)	3316	Москва и обл.	28899533	17651242	11248291	63.73
82	-8	Новикомбанк	2546	Москва и обл.	28632857	29662204	-1029347	-3.47
83	-2	Московский Капитал	3044	Москва и обл.	27868530	27073584	794946	2.94
84	22	Дрезднер Банк	2455	Санкт-Петербург и обл.	27852075	17202943	10649132	61.9
85	-3	Национальный Стандарт	3421	Москва и обл.	27818011	27057054	760957	2.81
86	-13	Экспобанк	2998	Москва и обл.	27609879	29840690	-2230811	-7.48
87	0	Металлинвестбанк	2440	Москва и обл.	27533533	23720005	3813528	16.08
88	6	Балтинвестбанк	3176	Санкт-Петербург и обл.	26352206	20201381	6150825	30.45
89	-6	Уралсиб-Юг Банк	457	Краснодарский край	26296574	26000813	295761	1.14
90	-2	Агропромкредит	2880	Москва и обл.	25425578	22738108	2687470	11.82
91	-7	Натиксис Банк	3390	Москва и обл.	25201254	24993496	207758	0.83
