Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2011, тыс. рублей	Январь, 2011, тыс. рублей	Изменение, тыс. рублей	Изменение, %
1	0	Сбербанк России	1481	Москва и обл.	10414994686	9145192910	1269801776	13.88
2	0	ВТБ	1000	Санкт-Петербург и обл.	3980335738	2822169844	1158165894	41.04
3	0	Газпромбанк	354	Москва и обл.	2359784575	1874115343	485669232	25.91
4	0	Россельхозбанк	3349	Москва и обл.	1385434005	1080160552	305273453	28.26
5	1	ВТБ 24	1623	Москва и обл.	1249690887	937768778	311922109	33.26
6	-1	Банк Москвы	2748	Москва и обл.	1222865312	954232472	268632840	28.15
7	0	Альфа-Банк	1326	Москва и обл.	964457258	880202924	84254334	9.57
8	0	ЮниКредит Банк	1	Москва и обл.	844319437	684030299	160289138	23.43
9	2	Росбанк	2272	Москва и обл.	648554614	472042022	176512592	37.39
10	-1	Райффайзенбанк	3292	Москва и обл.	611390089	509652091	101737998	19.96
11	-1	Промсвязьбанк	3251	Москва и обл.	555508092	504501914	51006178	10.11
12	3	ФК Открытие	2209	Москва и обл.	482388866	382433139	99955727	26.14
13	1	Транскредитбанк	2142	Москва и обл.	477166819	389314178	87852641	22.57
14	-2	Банк Уралсиб	2275	Москва и обл.	450314106	434868594	15445512	3.55
15	-2	МДМ Банк	323	Новосибирская обл.	380696204	413077739	-32381535	-7.84
16	0	Банк «Санкт-Петербург»	436	Санкт-Петербург и обл.	330922241	284066227	46856014	16.49
17	3	Ак Барс	2590	Татарстан	297806733	247173561	50633172	20.48
18	0	Россия	328	Санкт-Петербург и обл.	292750873	261075088	31675785	12.13
19	0	Ситибанк	2557	Москва и обл.	284517825	253826123	30691702	12.09
20	1	Нордеа Банк	3016	Москва и обл.	253436909	193454562	59982347	31.01
21	13	ИНГ Банк	2495	Москва и обл.	230226362	122812094	107414268	87.46
22	4	Московский Кредитный Банк	1978	Москва и обл.	228051882	168402759	59649123	35.42
23	4	Зенит	3255	Москва и обл.	219457967	165994490	53463477	32.21
24	1	Ханты-Мансийский банк Открытие	1971	Тюменская обл.	217083159	170270566	46812593	27.49
25	-2	Петрокоммерц	1776	Москва и обл.	214253293	183950520	30302773	16.47
26	-4	Связь-Банк	1470	Москва и обл.	210291267	184396769	25894498	14.04
27	-3	Возрождение	1439	Москва и обл.	187772455	175459419	12313036	7.02
28	2	Русский Стандарт	2289	Москва и обл.	178085397	146956376	31129021	21.18
29	3	Банк «Открытие»	2179	Москва и обл.	173553413	137479910	36073503	26.24
30	-2	Национальный Банк «Траст»	3279	Москва и обл.	166718413	163242584	3475829	2.13
31	7	Глобэкс	1942	Москва и обл.	163423372	112012705	51410667	45.9
32	5	Хоум Кредит Банк	316	Москва и обл.	153330348	119704304	33626044	28.09
33	-4	МТС Банк	2268	Москва и обл.	142744674	162350505	-19605831	-12.08
34	21	Национальный Расчетный Депозитарий	3294	Москва и обл.	141205447	75494059	65711388	87.04
35	6	Восточный Экспресс Банк	1460	Амурская обл.	130306102	99900786	30405316	30.44
36	25	Дойче Банк	3328	Москва и обл.	129964744	69629157	60335587	86.65
37	2	Московский Индустриальный Банк	912	Москва и обл.	128639609	108812344	19827265	18.22
38	2	ОТП Банк	2766	Москва и обл.	122014462	106094519	15919943	15.01
39	-4	Абсолют Банк	2306	Москва и обл.	118468517	120917242	-2448725	-2.03
40	3	Бинбанк	2562	Москва и обл.	116042846	98185640	17857206	18.19
41	-8	Национальный Клиринговый Центр	3466	Москва и обл.	114248177	124948174	-10699997	-8.56
42	10	Транскапиталбанк (ТКБ)	2210	Москва и обл.	108439036	78928045	29510991	37.39
43	1	Русфинанс Банк	1792	Самарская обл.	104632492	93919356	10713136	11.41
44	1	МСП Банк	3340	Москва и обл.	100604834	90501334	10103500	11.16
45	12	Уральский Банк Реконструкции и Развития	429	Свердловская обл.	99314774	72963477	26351297	36.12
